n,t_us,dec,bin,hex,volts
0,1005,931,001110100011,0x3A3,0.753894
1,4019,1243,010011011011,0x4DB,1.006542
2,6341,2913,101101100001,0xB61,2.358854
3,8357,2868,101100110100,0xB34,2.322415
4,10642,1187,010010100011,0x4A3,0.961195
5,12880,621,001001101101,0x26D,0.502866
6,15142,2124,100001001100,0x84C,1.719947
7,17402,3142,110001000110,0xC46,2.544291
8,19618,1994,011111001010,0x7CA,1.614677
9,21877,585,001001001001,0x249,0.473714
10,24136,1318,010100100110,0x526,1.067274
11,26410,2941,101101111101,0xB7D,2.381528
12,28629,2714,101010011010,0xA9A,2.197710
13,67034,3128,110000111000,0xC38,2.532954
14,70047,1641,011001101001,0x669,1.328829
15,72371,540,001000011100,0x21C,0.437275
16,74637,1708,011010101100,0x6AC,1.383084
17,76894,3105,110000100001,0xC21,2.514330
18,79136,2378,100101001010,0x94A,1.925628
19,81375,753,001011110001,0x2F1,0.609755
20,83619,960,001111000000,0x3C0,0.777377
21,85879,2654,101001011110,0xA5E,2.149124
22,88159,2961,101110010001,0xB91,2.397723
23,90404,1366,010101010110,0x556,1.106143
24,92626,566,001000110110,0x236,0.458329
25,97526,3129,110000111001,0xC39,2.533764
26,100505,1286,010100000110,0x506,1.041362
27,102810,603,001001011011,0x25B,0.488290
28,105054,2049,100000000001,0x801,1.659215
29,107292,3144,110001001000,0xC48,2.545911
30,109524,2057,100000001001,0x809,1.665693
31,111773,610,001001100010,0x262,0.493958
32,114013,1228,010011001100,0x4CC,0.994395
33,116247,2866,101100110010,0xB32,2.320795
34,118482,2801,101011110001,0xAF1,2.268160
35,120743,1121,010001100001,0x461,0.907750
36,122989,661,001010010101,0x295,0.535257
37,125230,2189,100010001101,0x88D,1.772582
38,127465,3138,110001000010,0xC42,2.541052
39,129594,2009,011111011001,0x7D9,1.626824
40,131836,590,001001001110,0x24E,0.477763
41,134098,1289,010100001001,0x509,1.043791
42,136336,2907,101101011011,0xB5B,2.353996
43,138581,2742,101010110110,0xAB6,2.220384
44,140585,1228,010011001100,0x4CC,0.994395
45,142809,607,001001011111,0x25F,0.491529
46,145050,2049,100000000001,0x801,1.659215
47,147270,3148,110001001100,0xC4C,2.549150
48,149518,2078,100000011110,0x81E,1.682698
49,154403,1535,010111111111,0x5FF,1.242994
50,157145,3140,110001000100,0xC44,2.542672
51,159462,2128,100001010000,0x850,1.723186
52,161733,624,001001110000,0x270,0.505295
53,163996,1214,010010111110,0x4BE,0.983058
54,166278,2881,101101000001,0xB41,2.332942
55,168536,2770,101011010010,0xAD2,2.243058
56,170792,1083,010000111011,0x43B,0.876979
57,173036,674,001010100010,0x2A2,0.545784
58,175292,2238,100010111110,0x8BE,1.812261
59,177517,3131,110000111011,0xC3B,2.535384
